idx,alias,input_tag,full_name,industry_l1,industry_l2,industry_match,expected_tokens,competitors,top5,suppliers,customers,suggest_preview
1,德赛西威,智能座舱/域控,惠州市德赛西威汽车电子股份有限公司,汽车,智能零部件,YES,智能网联/汽车/汽车供应链/电子/软件,5,5,4,4,惠州市德赛西威汽车电子股份有限公司
2,华阳集团,智能座舱/HUD/车载电子,华阳集团,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,
3,均胜电子,汽车电子/安全/座舱,宁波均胜电子股份有限公司,汽车,智能零部件,YES,智能网联/汽车/汽车供应链/电子/软件,7,5,4,4,宁波均胜电子股份有限公司
4,航盛电子,车载信息娱乐/座舱,航盛电子有限公司,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,航盛电子有限公司 | 航盛电子股份有限公司
5,继峰股份,座椅/座舱部件与系统,继峰股份股份有限公司,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,继峰股份股份有限公司
6,中科创达,智能座舱软件/OS/生态,中科创达软件股份有限公司,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,中科创达软件股份有限公司
7,东软集团,汽车软件/座舱/车联网,东软集团,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,
8,博泰车联网,车联网/座舱,博泰车联网,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,
9,亿咖通科技,智能座舱平台,湖北亿咖通科技有限公司,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,湖北亿咖通科技有限公司
10,四维图新,地图/定位/座舱生态,北京四维图新科技股份有限公司,综合,综合行业,NO,定位/导航/智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,北京四维图新科技股份有限公司
11,高德,地图/定位/出行,武汉高德红外股份有限公司,综合,综合行业,NO,,12,0,4,4,
12,百度 Apollo,智能驾驶平台/定位/地图,百度 Apollo,综合,综合行业,NO,定位/导航/智能网联/汽车供应链/软件,0,0,4,4,
13,华为智能汽车解决方案,智能座舱/智驾/车控,华为智能汽车解决方案有限公司,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,华为智能汽车解决方案有限公司 | 华为智能汽车解决方案股份有限公司
14,中兴通讯车联网,V2X/车联网,中兴通讯股份有限公司,ICT,通信技术服务,NO,智能网联/汽车/汽车供应链/电子/软件,7,5,1,2,中兴通讯股份有限公司
15,星网宇达,惯导/组合导航,北京星网宇达科技股份有限公司,综合,综合行业,NO,定位/导航/智能网联/汽车供应链/软件,0,0,1,1,北京星网宇达科技股份有限公司
16,北斗星通,北斗/GNSS/定位,江苏北斗星通汽车电子有限公司,综合,综合行业,NO,定位/导航/智能网联/汽车供应链/软件,0,0,4,4,江苏北斗星通汽车电子有限公司
17,华测导航,GNSS/RTK/定位,上海华测导航技术股份有限公司,综合,综合行业,NO,定位/导航/智能网联/汽车供应链/软件,0,0,4,4,上海华测导航技术股份有限公司
18,千寻位置,高精度定位服务,千寻位置网络有限公司,综合,综合行业,NO,定位/导航/智能网联/汽车供应链/软件,0,0,4,4,千寻位置网络有限公司
