rank,input_name,segment,resolved_name,code,industry_level1,industry_level2,industry_name,competitors_count,top5_count,suppliers_count,customers_count,elapsed_sec,ok,error
1,中芯国际,晶圆代工,中芯国际,688981,工业,半导体制造,半导体制造,12,5,0,2,18.5,True,
2,华虹集团,晶圆制造,华虹集团有限公司,,工业,半导体制造,半导体制造,5,5,0,3,23.11,True,
3,长江存储,存储芯片制造,长江存储有限公司,,工业,半导体制造,半导体制造,5,5,0,0,29.49,True,
4,北方华创,半导体设备,北方华创,002371,工业,半导体制造,半导体制造,12,5,0,0,20.56,True,
5,中微公司,半导体设备,中微公司,688012,工业,半导体制造,半导体制造,12,5,0,0,18.93,True,
6,长电科技,封装测试,长电科技有限公司,,工业,半导体制造,半导体制造,5,5,0,0,29.16,True,
7,通富微电,封装测试,通富微电,002156,工业,半导体制造,半导体制造,12,5,0,0,19.26,True,
8,华天科技,封装测试,华天科技有限公司,,工业,半导体制造,半导体制造,5,5,0,0,14.95,True,
9,兆易创新,存储/MCU设计,兆易创新,603986,电子信息,半导体芯片,半导体芯片,12,5,0,0,18.92,True,
10,韦尔股份,图像传感器/芯片设计,韦尔股份有限公司,,电子信息,半导体芯片,半导体芯片,5,5,0,0,15.31,True,
11,紫光国微,集成电路设计/设备/材料相关,紫光国微,002049,电子信息,半导体芯片,半导体芯片,12,5,0,0,19.4,True,
12,寒武纪,集成电路设计/设备/材料相关,寒武纪-U,688256,电子信息,半导体芯片,半导体芯片,12,5,0,0,18.05,True,
13,澜起科技,集成电路设计/设备/材料相关,澜起科技,688008,电子信息,半导体芯片,半导体芯片,12,5,0,0,20.97,True,
14,龙芯中科,集成电路设计/设备/材料相关,龙芯中科,688047,电子信息,半导体芯片,半导体芯片,12,5,0,0,20.31,True,
15,卓胜微,集成电路设计/设备/材料相关,卓胜微,300782,电子信息,半导体芯片,半导体芯片,12,5,0,0,16.96,True,
16,汇顶科技,集成电路设计/设备/材料相关,汇顶科技有限公司,,电子信息,半导体芯片,半导体芯片,5,5,0,0,12.76,True,
17,圣邦股份,集成电路设计/设备/材料相关,圣邦股份有限公司,,电子信息,半导体芯片,半导体芯片,5,5,0,0,18.32,True,
18,北京君正,集成电路设计/设备/材料相关,北京君正,300223,电子信息,半导体芯片,半导体芯片,12,5,0,0,23.24,True,
19,格科微,集成电路设计/设备/材料相关,格科微,688728,电子信息,半导体芯片,半导体芯片,12,5,0,0,27.34,True,
20,思瑞浦,集成电路设计/设备/材料相关,思瑞浦,688536,电子信息,半导体芯片,半导体芯片,12,5,0,0,24.54,True,
21,南芯科技,集成电路设计/设备/材料相关,南芯科技有限公司,,电子信息,半导体芯片,半导体芯片,5,5,0,0,28.32,True,
22,芯原股份,集成电路设计/设备/材料相关,芯原股份有限公司,,电子信息,半导体芯片,半导体芯片,5,5,0,0,19.88,True,
23,全志科技,集成电路设计/设备/材料相关,全志科技有限公司,,电子信息,半导体芯片,半导体芯片,5,5,0,0,19.42,True,
24,瑞芯微,集成电路设计/设备/材料相关,瑞芯微,603893,电子信息,半导体芯片,半导体芯片,12,5,0,0,21.32,True,
25,晶晨股份,集成电路设计/设备/材料相关,晶晨股份有限公司,,电子信息,半导体芯片,半导体芯片,5,5,0,0,14.9,True,
26,士兰微,集成电路设计/设备/材料相关,士兰微,600460,电子信息,半导体芯片,半导体芯片,12,5,0,0,18.66,True,
27,华润微,集成电路设计/设备/材料相关,华润微,688396,电子信息,半导体芯片,半导体芯片,12,5,0,0,19.12,True,
28,比亚迪半导体,集成电路设计/设备/材料相关,比亚迪,002594,工业,汽车制造,汽车制造,5,5,0,0,19.0,True,
29,三安光电,集成电路设计/设备/材料相关,三安光电,600703,电子信息,半导体芯片,半导体芯片,5,5,0,0,17.17,True,
30,沪硅产业,集成电路设计/设备/材料相关,沪硅产业,688126,电子信息,半导体芯片,半导体芯片,12,5,0,0,17.92,True,
31,拓荆科技,集成电路设计/设备/材料相关,拓荆科技,688072,电子信息,半导体芯片,半导体芯片,12,5,0,0,19.56,True,
32,盛美上海,集成电路设计/设备/材料相关,盛美上海,688082,电子信息,半导体芯片,半导体芯片,12,5,1,0,23.9,True,
33,华海清科,集成电路设计/设备/材料相关,华海清科,688120,电子信息,半导体芯片,半导体芯片,12,5,0,0,19.99,True,
34,长川科技,集成电路设计/设备/材料相关,长川科技有限公司,,电子信息,半导体芯片,半导体芯片,5,5,0,0,12.17,True,
35,中科飞测,集成电路设计/设备/材料相关,中科飞测,688361,电子信息,半导体芯片,半导体芯片,12,5,0,0,34.55,True,
36,雅克科技,集成电路设计/设备/材料相关,雅克科技有限公司,,电子信息,半导体芯片,半导体芯片,5,5,0,0,27.24,True,
37,鼎龙股份,集成电路设计/设备/材料相关,鼎龙股份有限公司,,电子信息,半导体芯片,半导体芯片,5,5,0,0,24.63,True,
38,天岳先进,集成电路设计/设备/材料相关,天岳先进,688234,电子信息,半导体芯片,半导体芯片,12,5,0,0,28.65,True,
39,南大光电,集成电路设计/设备/材料相关,南大光电,300346,电子信息,半导体芯片,半导体芯片,5,5,0,0,25.13,True,
40,佰维存储,集成电路设计/设备/材料相关,佰维存储,688525,电子信息,半导体芯片,半导体芯片,12,5,0,0,19.92,True,
41,乐鑫科技,集成电路设计/设备/材料相关,乐鑫科技有限公司,,电子信息,半导体芯片,半导体芯片,5,5,0,0,16.18,True,
42,地平线,集成电路设计/设备/材料相关,地平线机器人-W,09660,电子信息,半导体芯片,半导体芯片,5,5,0,0,12.01,True,
43,紫光展锐,集成电路设计/设备/材料相关,紫光展锐有限公司,,电子信息,半导体芯片,半导体芯片,5,5,0,0,16.7,True,
44,复旦微电,集成电路设计/设备/材料相关,复旦微电,688385,电子信息,半导体芯片,半导体芯片,12,5,0,0,20.02,True,
45,上海贝岭,集成电路设计/设备/材料相关,上海贝岭,600171,电子信息,半导体芯片,半导体芯片,5,5,0,0,19.39,True,
46,捷捷微电,集成电路设计/设备/材料相关,捷捷微电,300623,电子信息,半导体芯片,半导体芯片,12,5,0,0,21.21,True,
47,国博电子,集成电路设计/设备/材料相关,国博电子科技有限公司,,电子信息,半导体芯片,半导体芯片,5,5,0,0,17.42,True,
48,芯源微,集成电路设计/设备/材料相关,芯源微,688037,电子信息,半导体芯片,半导体芯片,12,5,0,0,22.01,True,
